order_id,seller_id,buyer_id,kodepos,subtotal,discount,total,created_at,paid_at,delivery_at
7650,36,16163,11123,122000,0,122000,2020-04-01,2020-04-07,
7695,45,2808,3442,2160000,0,2160000,2019-12-21,2019-12-24,
8149,11,16372,1961,360000,0,360000,2020-04-21,2020-04-25,
8187,9,15237,47147,4532000,0,4532000,2020-04-23,2020-05-02,
8278,49,7910,17942,62000,0,62000,2019-08-22,2019-09-04,
8330,41,17429,68239,2415000,0,2415000,2019-12-18,2019-12-21,
8578,52,15980,40518,4400000,0,4400000,2020-05-07,2020-05-09,
8580,23,860,2884,1437000,0,1437000,2020-03-09,2020-03-20,
8625,61,8409,8670,1092000,0,1092000,2020-02-05,2020-02-19,
8676,7,15294,69620,1317000,0,1317000,2020-04-20,2020-04-29,
8776,24,10318,51480,420000,0,420000,2019-12-28,2020-01-03,
8829,34,11417,68247,3250000,487500,2762500,2019-11-02,2019-11-06,
8905,1,12366,76446,756000,0,756000,2020-05-12,2020-05-23,
8913,50,10974,66282,316000,0,316000,2020-04-01,2020-04-08,
8933,38,3252,49479,180000,0,180000,2019-10-03,2019-10-13,
9089,11,16007,897,1060000,0,1060000,2019-11-20,2019-12-03,
9269,26,9691,71368,760000,0,760000,2020-02-27,2020-03-08,
9407,67,2339,27119,1785000,0,1785000,2019-10-27,2019-11-03,
9501,68,11193,13258,207000,0,207000,2019-10-21,2019-10-26,
9531,23,7944,67428,3018000,0,3018000,2019-11-30,2019-12-01,
9550,9,10892,49458,3563000,0,3563000,2020-01-30,2020-01-31,
9577,62,15640,83432,95000,0,95000,2020-03-25,2020-04-02,
9578,38,5048,20898,600000,0,600000,2020-03-17,2020-03-27,
9636,24,13906,55139,629000,0,629000,2020-02-01,2020-02-13,
9813,49,6268,46372,1825000,0,1825000,2019-08-25,2019-09-08,
9896,35,4558,38457,2940000,0,2940000,2019-09-10,2019-09-13,
9928,39,7630,943,198000,0,198000,2019-11-27,2019-11-29,
9973,63,7792,97948,3002000,0,3002000,2019-12-23,2019-12-29,
10400,18,13489,45436,5762000,0,5762000,2020-05-07,2020-05-17,
10520,43,13673,3638,905000,0,905000,2019-12-15,2019-12-29,
10694,21,13338,9647,684000,0,684000,2019-10-20,2019-11-03,
11107,3,12917,36798,802000,0,802000,2019-11-03,2019-11-07,
11136,28,15611,42158,207000,0,207000,2019-03-01,2019-03-03,
11170,47,8416,56448,284000,0,284000,2020-02-29,2020-03-07,
11239,4,8393,64223,11409000,0,11409000,2020-05-29,2020-06-07,
11333,50,6385,9707,170000,0,170000,2019-11-07,2019-11-19,
11572,45,9649,74549,4068000,0,4068000,2020-05-11,2020-05-24,
11640,68,10013,53959,312000,0,312000,2019-09-22,2019-09-25,
11817,34,11477,86659,585000,0,585000,2020-05-27,2020-06-10,
11936,1,166,73771,6661000,0,6661000,2019-09-25,2019-10-05,
12055,30,7092,6841,9200000,0,9200000,2019-04-29,2019-05-02,
12057,52,4343,78317,10000,0,10000,2020-01-15,2020-01-29,
12098,48,11820,80575,1566000,0,1566000,2019-06-04,2019-06-06,
12442,22,13313,34415,174000,0,174000,2019-10-14,2019-10-24,
12446,11,2488,85062,192000,0,192000,2019-12-31,2020-01-01,
12462,17,12817,27318,49000,0,49000,2019-08-30,2019-09-07,
12739,57,13412,57809,36000,0,36000,2019-12-21,2019-12-23,
12825,13,8471,66950,872000,0,872000,2020-04-13,2020-04-18,
13028,57,6067,71629,697000,129200,567800,2019-12-27,2020-01-05,
13055,60,6851,90057,234000,0,234000,2019-12-29,2020-01-03,
13151,6,14102,16140,1154000,0,1154000,2020-04-29,2020-05-12,
13495,49,17627,35715,668000,6000,662000,2020-05-24,2020-06-05,
13501,28,15351,82874,4689000,0,4689000,2020-05-07,2020-05-16,
13785,7,1485,98715,84000,0,84000,2019-09-09,2019-09-20,
13864,12,6923,7323,15250000,0,15250000,2020-04-20,2020-04-23,
13878,61,670,70398,1140000,0,1140000,2019-11-18,2019-11-25,
14049,62,1790,79763,1136000,0,1136000,2019-09-02,2019-09-05,
14213,27,11795,87786,5773000,0,5773000,2019-11-27,2019-12-09,
14222,8,12246,36713,72000,0,72000,2019-09-19,2019-09-26,
14505,34,7678,43660,11618000,74100,11543900,2020-05-14,2020-05-15,
14753,10,15297,97520,78000,15600,62400,2020-03-27,2020-04-02,
14899,12,9182,47975,1612000,0,1612000,2019-11-18,2019-11-23,
14996,2,14246,56795,549000,0,549000,2019-12-28,2019-12-30,
15012,8,13835,52631,5880000,0,5880000,2019-11-30,2019-12-04,
15015,15,11278,67509,999000,0,999000,2020-01-29,2020-01-30,
15109,5,5237,66700,3628000,0,3628000,2020-02-27,2020-03-10,
15408,21,5882,20523,102000,0,102000,2019-09-02,2019-09-04,
15420,69,7545,58252,42000,0,42000,2019-08-21,2019-08-22,
15611,42,8935,54950,1400000,0,1400000,2020-01-13,2020-01-22,
15614,54,5189,10090,246000,0,246000,2020-05-28,2020-05-29,
15736,56,6455,25060,4277000,0,4277000,2020-02-18,2020-02-25,
15848,33,7161,3798,2029000,0,2029000,2020-04-22,2020-04-29,
15956,43,17659,84731,4523000,0,4523000,2020-04-04,2020-04-07,
15979,46,9178,76238,285000,0,285000,2019-09-23,2019-10-01,
16037,50,3293,93960,980000,196000,784000,2020-05-10,2020-05-12,
16069,50,10571,64964,380000,0,380000,2020-02-19,2020-02-21,
16084,20,8917,61368,6713000,0,6713000,2020-03-06,2020-03-11,
16138,12,12810,81633,456000,0,456000,2019-12-04,2019-12-12,
16146,61,10737,42416,582000,0,582000,2020-05-25,2020-06-06,
16213,6,12087,18586,2044000,0,2044000,2020-03-06,2020-03-18,
16354,5,9805,36445,300000,0,300000,2019-05-27,2019-05-28,
16395,33,14454,45191,116000,0,116000,2020-03-31,2020-04-01,
16486,67,13296,46932,46000,0,46000,2020-01-15,2020-01-27,
16534,32,10488,65378,1648000,0,1648000,2020-02-16,2020-02-28,
16543,27,8483,65312,7803000,0,7803000,2019-12-04,2019-12-05,
16615,51,6547,25336,390000,0,390000,2020-01-06,2020-01-12,
16680,44,748,98474,432000,0,432000,2019-09-30,2019-10-04,
16808,25,4625,51719,436000,0,436000,2019-12-14,2019-12-20,
16894,66,8141,64287,1590000,0,1590000,2020-01-06,2020-01-17,
16939,13,10951,93132,4800000,0,4800000,2019-05-01,2019-05-13,
16957,34,14165,7673,1050000,0,1050000,2020-01-09,2020-01-18,
17119,19,2860,1594,1164000,0,1164000,2020-03-23,2020-03-25,
17379,54,7396,20152,200000,0,200000,2019-12-08,2019-12-15,
17456,38,656,71878,380000,0,380000,2019-08-04,2019-08-15,
17604,42,14583,44579,35000,0,35000,2019-03-29,2019-04-04,
17650,66,11240,55752,3314000,0,3314000,2020-04-07,2020-04-13,
17673,15,8892,24929,6588000,0,6588000,2020-05-02,2020-05-14,
17695,65,12292,83473,660000,0,660000,2020-02-10,2020-02-20,
17811,66,8212,50078,205000,0,205000,2020-01-28,2020-02-11,
17938,59,4435,60161,8234000,414200,7819800,2019-11-21,2019-11-23,
18263,50,10188,90687,1204000,0,1204000,2019-12-05,2019-12-10,
18311,7,17035,12559,1562000,0,1562000,2020-01-24,2020-02-01,
18350,62,13119,45178,681000,0,681000,2020-03-07,2020-03-21,
18464,7,16107,71590,120000,0,120000,2019-11-04,2019-11-16,
18512,41,11142,71209,225000,0,225000,2019-07-02,2019-07-14,
18527,20,5491,26885,66000,0,66000,2020-01-15,2020-01-18,
18759,21,6220,36067,5054000,0,5054000,2020-03-18,2020-04-01,
18820,68,17054,650,276000,0,276000,2019-10-23,2019-10-24,
18843,55,15915,42909,10520000,0,10520000,2019-04-19,2019-04-28,
19046,17,11280,91235,442000,0,442000,2020-01-03,2020-01-10,
19121,11,11023,29576,724000,0,724000,2020-02-05,2020-02-11,
19123,27,15717,59244,1692000,0,1692000,2019-05-22,2019-06-01,
19244,60,696,19379,3972000,15000,3957000,2020-02-29,2020-03-14,
19284,57,9140,68902,1512000,0,1512000,2019-09-22,2019-10-05,
19361,63,795,10511,76000,0,76000,2019-09-03,2019-09-04,
19440,23,12364,8638,844000,0,844000,2020-01-23,2020-02-01,
19562,2,4274,66408,410000,0,410000,2019-12-29,2020-01-07,
19591,23,1010,33023,1840000,0,1840000,2019-09-26,2019-10-02,
19641,66,8914,20224,1042000,0,1042000,2020-05-10,2020-05-17,
19724,14,13288,27538,1080000,0,1080000,2020-04-07,2020-04-11,
20085,63,1655,16640,108000,0,108000,2019-04-18,2019-04-29,
20253,5,897,18898,7520000,623100,6896900,2020-05-29,2020-05-31,
20259,30,665,28992,2038000,0,2038000,2020-04-17,2020-04-25,
20439,28,10396,83971,159000,0,159000,2020-03-03,2020-03-06,
20445,13,905,47563,4071000,0,4071000,2020-03-29,2020-04-08,
20481,27,17472,28342,4680000,0,4680000,2020-04-19,2020-04-30,
20561,68,3048,18782,845000,88800,756200,2020-04-13,2020-04-25,
20879,34,3980,96904,501000,0,501000,2019-07-12,2019-07-25,
21021,14,51,96759,95000,0,95000,2019-11-07,2019-11-08,
21107,62,13278,70293,1380000,0,1380000,2020-02-15,2020-02-20,
21124,39,7630,51918,1856000,0,1856000,2019-06-29,2019-07-12,
21165,29,10112,45397,160000,0,160000,2020-03-19,2020-03-28,
21171,60,15893,42186,4903000,0,4903000,2020-01-25,2020-02-01,
21176,36,10195,76330,8970000,0,8970000,2020-04-16,2020-04-20,
21276,16,3342,94446,4582000,0,4582000,2020-02-24,2020-02-26,
21329,35,291,31662,748000,0,748000,2019-10-29,2019-11-04,
21419,4,4950,22992,808000,0,808000,2020-05-30,2020-06-05,
21443,30,5367,30620,1313000,0,1313000,2020-04-15,2020-04-23,
21495,55,1831,58120,90000,0,90000,2019-11-18,2019-12-02,
21518,51,8968,2342,72000,0,72000,2020-03-22,2020-03-23,
21589,21,16062,44104,96000,0,96000,2019-09-20,2019-09-28,
21590,15,373,65788,3830000,0,3830000,2020-04-11,2020-04-16,
21692,25,16728,20365,5293000,0,5293000,2020-02-19,2020-02-21,
21781,1,10994,38886,1012000,0,1012000,2019-11-01,2019-11-15,
21813,29,13926,60649,816000,0,816000,2019-09-09,2019-09-11,
21906,54,17746,53893,44000,8800,35200,2019-08-30,2019-09-02,
21999,12,6274,93651,738000,0,738000,2019-08-17,2019-08-26,
22013,55,2066,54075,7114000,0,7114000,2020-05-24,2020-05-31,
22136,8,15956,83688,338000,0,338000,2020-04-15,2020-04-19,
22334,67,14445,980,92000,0,92000,2019-09-20,2019-09-28,
22365,15,17448,8894,10560000,0,10560000,2020-05-27,2020-06-06,
22383,59,167,881,275000,0,275000,2020-02-25,2020-02-27,
22392,41,4971,30241,1635000,0,1635000,2019-11-28,2019-11-29,
22394,39,8609,71024,3257000,0,3257000,2020-05-23,2020-06-04,
22503,10,9847,62229,4830000,109500,4720500,2020-05-17,2020-05-29,
22661,64,6870,11894,632000,0,632000,2020-05-19,2020-05-26,
22688,12,7071,93994,342000,0,342000,2019-08-29,2019-09-10,
22703,5,136,36055,200000,0,200000,2019-12-19,2019-12-28,
22766,25,5158,35253,116000,0,116000,2019-10-09,2019-10-13,
23004,53,245,22532,30000,0,30000,2019-12-01,2019-12-11,
23093,1,6115,75559,2331000,0,2331000,2019-12-22,2020-01-04,
23115,7,15972,7653,70000,0,70000,2019-10-21,2019-10-29,
23136,48,8446,54835,1210000,0,1210000,2019-12-14,2019-12-22,
23156,41,9188,13496,655000,0,655000,2019-05-08,2019-05-21,
23202,51,1069,28528,1727000,0,1727000,2019-12-20,2019-12-26,
23269,6,3287,34308,7215000,930000,6285000,2020-03-08,2020-03-19,
23284,40,6150,56962,5629000,0,5629000,2020-04-03,2020-04-07,
23287,52,13747,65271,444000,81600,362400,2020-05-09,2020-05-20,
23350,31,5373,72451,161000,0,161000,2019-12-31,2020-01-07,
23438,5,13411,48802,1092000,0,1092000,2020-03-07,2020-03-08,
23659,31,4410,47983,4643000,0,4643000,2020-05-04,2020-05-13,
23731,35,17401,75463,3824000,0,3824000,2020-05-11,2020-05-24,
23870,30,16856,6045,2882000,0,2882000,2020-05-09,2020-05-12,
23926,43,8414,37597,6563000,0,6563000,2020-05-20,2020-05-27,
23982,19,6980,98360,1058000,0,1058000,2020-03-22,2020-04-02,
24215,41,14200,14174,216000,0,216000,2020-04-04,2020-04-12,
24226,67,8100,54344,6464000,0,6464000,2020-04-26,2020-05-06,
24423,8,12403,97681,875000,0,875000,2020-01-12,2020-01-23,
24432,7,9543,90858,1905000,0,1905000,2019-12-07,2019-12-15,
24455,64,16406,6221,100000,0,100000,2020-03-23,2020-04-01,
24542,41,1266,64844,3836000,0,3836000,2020-03-05,2020-03-09,
24711,31,17074,49596,586000,0,586000,2020-01-11,2020-01-16,
24973,6,8047,15695,1031000,0,1031000,2020-05-05,2020-05-10,
25159,64,3013,76798,2700000,0,2700000,2020-02-03,2020-02-11,
25163,61,9887,36960,1307000,0,1307000,2020-05-29,2020-06-05,
25177,66,5143,38457,1078000,0,1078000,2019-12-02,2019-12-13,
25231,53,15133,45639,144000,0,144000,2019-06-18,2019-06-22,
25451,54,11228,60087,646000,129200,516800,2019-08-24,2019-09-05,
25547,7,17290,49942,3128000,0,3128000,2019-12-25,2020-01-01,
25668,52,10633,10019,1185000,0,1185000,2019-11-27,2019-12-02,
25757,43,2018,26016,246000,0,246000,2019-04-18,2019-04-27,
25814,24,4679,26908,1114000,0,1114000,2020-04-27,2020-05-06,
25883,28,10679,42784,660000,0,660000,2019-12-09,2019-12-18,
26139,41,6366,10337,7867000,0,7867000,2019-12-30,2020-01-13,
26626,15,2863,69809,1405000,0,1405000,2020-02-28,2020-03-08,
26636,39,2676,68151,333000,0,333000,2020-03-21,2020-03-27,
26818,39,5337,52800,22845000,0,22845000,2019-12-27,2020-01-06,
26821,4,10736,17245,1373000,0,1373000,2020-05-16,2020-05-19,
26890,4,12700,74727,4390000,0,4390000,2020-04-25,2020-05-09,
27103,6,4635,93331,4620000,0,4620000,2020-01-24,2020-01-27,
27188,10,135,92371,170000,0,170000,2020-05-23,2020-06-05,
27279,34,5320,8770,6876000,0,6876000,2020-02-18,2020-02-21,
27406,11,4955,13078,971000,0,971000,2020-04-03,2020-04-16,
27488,64,3154,83389,2639000,0,2639000,2019-12-21,2019-12-31,
27550,34,2120,73747,651000,0,651000,2019-08-27,2019-09-02,
27606,41,16690,9427,360000,0,360000,2019-12-19,2019-12-23,
27644,67,15726,5388,630000,0,630000,2019-12-01,2019-12-13,
27798,61,9276,32130,913000,0,913000,2019-12-10,2019-12-18,
27971,62,1607,34593,4583000,0,4583000,2020-05-27,2020-06-07,
28035,39,932,55654,660000,0,660000,2019-08-26,2019-08-27,
28113,16,11333,60217,1066000,0,1066000,2019-11-06,2019-11-08,
28208,4,9569,29560,78000,0,78000,2019-11-06,2019-11-15,
28598,65,10760,89958,1076000,0,1076000,2020-03-23,2020-04-06,
28673,40,2189,70086,1057000,0,1057000,2019-12-31,2020-01-06,
28696,65,11184,52076,50000,0,50000,2019-10-08,2019-10-10,
29117,45,6771,11398,122000,0,122000,2019-12-19,2019-12-29,
29135,64,16682,91975,997000,0,997000,2020-03-26,2020-04-01,
29136,32,11038,38681,790000,0,790000,2019-09-02,2019-09-16,
29189,52,344,83146,11151000,105000,11046000,2020-05-04,2020-05-18,
29501,23,12267,1488,4691000,1058000,3633000,2020-03-14,2020-03-27,
29508,25,12374,37517,405000,0,405000,2019-12-14,2019-12-26,
29652,9,9231,82032,885000,0,885000,2019-05-11,2019-05-15,
29685,65,1246,42186,1347000,0,1347000,2020-03-22,2020-03-30,
29866,48,7139,51210,40000,0,40000,2019-11-30,2019-12-11,
29956,61,16470,62625,812000,0,812000,2019-12-15,2019-12-27,
29991,3,4087,24351,4616000,0,4616000,2019-12-26,2019-12-27,
30195,1,1732,9207,90000,0,90000,2020-04-09,2020-04-14,
30216,19,5701,70332,200000,0,200000,2019-10-31,2019-11-03,
30231,60,9303,47358,5624000,0,5624000,2019-08-24,2019-09-07,
30331,59,16279,64635,607000,0,607000,2020-04-12,2020-04-20,
31405,63,17712,91745,1161000,0,1161000,2019-10-21,2019-10-27,
31603,15,11318,87238,693000,0,693000,2019-05-19,2019-05-31,
31649,28,4034,62616,560000,0,560000,2020-03-07,2020-03-16,
31689,5,1468,53945,174000,0,174000,2019-06-16,2019-06-30,
31765,23,10855,69976,3234000,0,3234000,2019-08-15,2019-08-23,
31849,22,16511,48347,510000,0,510000,2019-08-01,2019-08-02,
31935,37,11593,22125,51000,0,51000,2020-02-29,2020-03-07,
32025,64,6667,67893,5003000,108800,4894200,2020-05-17,2020-05-18,
32090,32,7514,79233,504000,0,504000,2019-04-11,2019-04-12,
32252,53,7940,64287,2046000,0,2046000,2020-01-02,2020-01-08,
32311,35,1777,71054,840000,0,840000,2019-08-02,2019-08-15,
32370,15,9477,88467,510000,0,510000,2020-05-26,2020-05-27,
32400,21,1601,96878,512000,0,512000,2020-02-09,2020-02-12,
32430,66,2100,38534,6354000,0,6354000,2019-12-25,2019-12-28,
32528,52,1026,95514,132000,0,132000,2019-10-31,2019-11-13,
32755,43,813,21058,7639000,0,7639000,2019-11-05,2019-11-12,
32770,66,5006,62374,2666000,0,2666000,2019-11-15,2019-11-16,
32789,43,15975,28915,4620000,0,4620000,2020-02-28,2020-03-05,
32794,58,16242,14636,57000,0,57000,2019-11-07,2019-11-15,
32932,53,17078,12967,8354000,0,8354000,2020-01-23,2020-02-04,
32990,25,7634,44713,232000,0,232000,2019-01-15,2019-01-24,
33075,38,10428,33014,4522000,0,4522000,2020-05-22,2020-06-02,
33155,33,13732,11126,9880000,85500,9794500,2020-05-24,2020-05-27,
33211,9,2155,90817,24000,0,24000,2019-11-10,2019-11-16,
33301,52,11975,20957,176000,0,176000,2019-12-02,2019-12-05,
33316,37,5298,87438,546000,0,546000,2020-01-21,2020-02-01,
34038,64,3563,65951,434000,0,434000,2019-12-20,2019-12-25,
34127,11,9103,28289,4580000,0,4580000,2020-04-30,2020-05-12,
34179,27,3634,82339,144000,0,144000,2020-03-10,2020-03-16,
34237,59,1049,34172,1686000,0,1686000,2020-01-26,2020-02-08,
34328,51,8287,44206,496000,0,496000,2019-06-21,2019-07-01,
34406,15,3751,88491,7298000,0,7298000,2020-03-26,2020-04-03,
34597,42,16629,23077,2069000,0,2069000,2020-03-12,2020-03-26,
34612,29,6545,9994,722000,0,722000,2019-08-12,2019-08-21,
34639,27,12267,1488,140000,0,140000,2019-09-26,2019-10-04,
34675,16,3016,74423,168000,0,168000,2019-04-04,2019-04-16,
34695,22,5411,88736,120000,0,120000,2019-03-18,2019-03-21,
34768,63,2963,64055,3437000,0,3437000,2020-04-05,2020-04-15,
34876,37,4652,71181,64000,0,64000,2020-03-10,2020-03-21,
35039,14,10625,16375,434000,0,434000,2019-10-15,2019-10-18,
35052,17,4869,45785,802000,0,802000,2020-02-05,2020-02-19,
35246,6,8312,94478,329000,0,329000,2019-11-18,2019-11-22,
35410,44,14790,78316,752000,0,752000,2020-04-10,2020-04-21,
35497,58,8121,23028,3897000,0,3897000,2019-07-09,2019-07-21,
35537,6,1002,50229,478000,0,478000,2019-12-29,2020-01-05,
35574,3,2420,87055,390000,0,390000,2020-03-04,2020-03-07,
35604,49,4481,19737,5758000,0,5758000,2020-03-26,2020-03-29,
35721,68,13766,83779,44000,0,44000,2020-01-13,2020-01-25,
35781,40,6324,79948,502000,0,502000,2020-04-04,2020-04-07,
35786,53,3059,23201,1394000,0,1394000,2019-09-03,2019-09-08,
35807,54,12849,79568,2813000,0,2813000,2020-04-29,2020-05-12,
36217,39,11945,19849,4704000,0,4704000,2019-08-21,2019-09-04,
36350,61,5844,76789,10640000,0,10640000,2019-12-31,2020-01-08,
36420,18,15080,52991,20000,0,20000,2019-11-10,2019-11-24,
36547,5,12931,91973,1531000,0,1531000,2020-05-28,2020-06-01,
36664,26,17809,76581,866000,0,866000,2019-12-22,2019-12-25,
36680,35,9130,2062,520000,0,520000,2020-03-03,2020-03-06,
36830,34,15599,77949,1480000,0,1480000,2020-05-31,2020-06-01,
36887,62,1284,36106,148000,0,148000,2019-07-26,2019-08-01,
36928,42,9843,89618,6124000,0,6124000,2020-04-28,2020-05-09,
37090,56,1049,9847,504000,0,504000,2019-12-06,2019-12-16,
37296,38,5330,63914,1601000,0,1601000,2020-03-29,2020-04-08,
37407,22,13615,53078,585000,0,585000,2020-01-31,2020-02-02,
37408,58,6724,71507,16000,0,16000,2019-06-27,2019-07-01,
37462,58,13863,59679,725000,0,725000,2019-07-02,2019-07-08,
37464,58,13067,30190,1350000,0,1350000,2019-11-13,2019-11-19,
37534,57,16010,26911,3043000,396000,2647000,2020-05-16,2020-05-22,
37549,30,16875,25585,6498000,0,6498000,2020-05-26,2020-06-03,
37577,48,7423,93649,397000,0,397000,2020-05-08,2020-05-12,
37702,14,4888,7818,72000,0,72000,2019-02-26,2019-03-09,
37831,46,5589,17869,364000,0,364000,2019-08-13,2019-08-24,
37844,19,17053,72776,3700000,0,3700000,2019-10-24,2019-11-03,
37946,16,8903,60132,1815000,0,1815000,2020-04-12,2020-04-26,
38147,38,16514,34958,945000,0,945000,2020-01-31,2020-02-12,
38343,24,16862,42355,4195000,0,4195000,2020-02-03,2020-02-05,
38434,55,10116,57691,3648000,0,3648000,2019-12-27,2020-01-09,
38458,18,10308,11835,200000,0,200000,2019-10-30,2019-11-12,
38732,67,16309,84615,3040000,0,3040000,2019-10-26,2019-10-28,
38765,36,11611,88408,2349000,0,2349000,2020-05-30,2020-06-07,
38879,61,17367,10426,600000,0,600000,2020-01-06,2020-01-18,
38905,26,15294,43088,5600000,0,5600000,2019-06-19,2019-06-24,
39051,3,6668,52921,2540000,0,2540000,2019-06-14,2019-06-27,
39116,57,14577,8839,5899000,0,5899000,2020-05-12,2020-05-14,
39282,7,6253,56748,2717000,0,2717000,2020-04-05,2020-04-19,
39339,41,17635,88798,90000,0,90000,2020-02-01,2020-02-11,
39369,48,587,60671,288000,0,288000,2019-06-18,2019-06-30,
39474,63,9388,91575,553000,0,553000,2020-01-25,2020-01-29,
39482,28,14257,12712,3636000,0,3636000,2019-10-08,2019-10-12,
39648,16,14782,36091,108000,0,108000,2019-12-14,2019-12-19,
39713,34,7345,1698,1258000,0,1258000,2019-11-29,2019-12-11,
40144,18,11812,89773,4620000,0,4620000,2020-05-29,2020-06-06,
40260,39,16621,53465,1455000,0,1455000,2020-05-25,2020-05-26,
40272,63,372,22536,918000,0,918000,2019-12-27,2020-01-05,
40285,32,10784,53835,36000,0,36000,2019-10-18,2019-10-31,
